nohup: ignoring input
[DeDL/SDL] Epoch 363/1000, train MSE=0.6623
[DeDL/SDL] Epoch 364/1000, train MSE=0.6585
[DeDL/SDL] Epoch 365/1000, train MSE=0.6539
[DeDL/SDL] Epoch 366/1000, train MSE=0.6510
[DeDL/SDL] Epoch 367/1000, train MSE=0.6480
[DeDL/SDL] Epoch 368/1000, train MSE=0.6470
[DeDL/SDL] Epoch 369/1000, train MSE=0.6444
[DeDL/SDL] Epoch 370/1000, train MSE=0.6437
[DeDL/SDL] Epoch 371/1000, train MSE=0.6422
[DeDL/SDL] Epoch 372/1000, train MSE=0.6412
[DeDL/SDL] Epoch 373/1000, train MSE=0.6399
[DeDL/SDL] Epoch 374/1000, train MSE=0.6390
[DeDL/SDL] Epoch 375/1000, train MSE=0.6380
[DeDL/SDL] Epoch 376/1000, train MSE=0.6364
[DeDL/SDL] Epoch 377/1000, train MSE=0.6360
[DeDL/SDL] Epoch 378/1000, train MSE=0.6347
[DeDL/SDL] Epoch 379/1000, train MSE=0.6340
[DeDL/SDL] Epoch 380/1000, train MSE=0.6326
[DeDL/SDL] Epoch 381/1000, train MSE=0.6319
[DeDL/SDL] Epoch 382/1000, train MSE=0.6316
[DeDL/SDL] Epoch 383/1000, train MSE=0.6300
[DeDL/SDL] Epoch 384/1000, train MSE=0.6291
[DeDL/SDL] Epoch 385/1000, train MSE=0.6283
[DeDL/SDL] Epoch 386/1000, train MSE=0.6273
[DeDL/SDL] Epoch 387/1000, train MSE=0.6269
[DeDL/SDL] Epoch 388/1000, train MSE=0.6262
[DeDL/SDL] Epoch 389/1000, train MSE=0.6249
[DeDL/SDL] Epoch 390/1000, train MSE=0.6242
[DeDL/SDL] Epoch 391/1000, train MSE=0.6241
[DeDL/SDL] Epoch 392/1000, train MSE=0.6231
[DeDL/SDL] Epoch 393/1000, train MSE=0.6218
[DeDL/SDL] Epoch 394/1000, train MSE=0.6218
[DeDL/SDL] Epoch 395/1000, train MSE=0.6197
[DeDL/SDL] Epoch 396/1000, train MSE=0.6207
[DeDL/SDL] Epoch 397/1000, train MSE=0.6194
[DeDL/SDL] Epoch 398/1000, train MSE=0.6182
[DeDL/SDL] Epoch 399/1000, train MSE=0.6175
[DeDL/SDL] Epoch 400/1000, train MSE=0.6161
[DeDL/SDL] Epoch 401/1000, train MSE=0.6160
[DeDL/SDL] Epoch 402/1000, train MSE=0.6153
